Catalog ID,MW,Formula,Chemical name,Smiles,Type
Z3489903998,344.3601,C17H13FN2O3S,"2-{[1,1'-biphenyl]-4-yl}-6-methylpyrimidin-4-yl sulfurofluoridate",CC=1C=C(N=C(N1)C=2C=CC(=CC2)C=3C=CC=CC3)OS(=O)(=O)F,FS
Z2675971731,358.1884,C12H11Cl2F2NO3S,"4-[2-(2,2-dichloro-1-methylcyclopropyl)acetamido]-2-fluorobenzene-1-sulfonyl fluoride",CC1(CC(=O)NC2=CC=C(C(F)=C2)S(=O)(=O)F)CC1(Cl)Cl,SuFEx
Z4607567347,456.3892,C15H12F4N2O6S2,4-[3-methyl-4-(trifluoromethanesulfonamido)benzamido]phenyl sulfurofluoridate,CC=1C=C(C=CC1NS(=O)(=O)C(F)(F)F)C(=O)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
Z2768306036,388.3481,C17H10F2N4O3S,3-{[1-(2-cyano-3-fluorophenyl)-1H-pyrazol-3-yl]carbamoyl}benzene-1-sulfonyl fluoride,N#CC=1C(F)=CC=CC1N2C=CC(=N2)NC(=O)C=3C=CC=C(C3)S(=O)(=O)F,SuFEx
Z4262302093,333.3326,C13H16FNO6S,methyl 4-({4-[(fluorosulfonyl)oxy]phenyl}carbamoyl)-3-methylbutanoate,COC(=O)CC(C)CC(=O)NC=1C=CC(=CC1)OS(=O)(=O)F,FS
Z2768175804,398.2037,C15H9BrFNO4S,4-(5-bromo-1-benzofuran-2-amido)benzene-1-sulfonyl fluoride,O=C(NC=1C=CC(=CC1)S(=O)(=O)F)C2=CC=3C=C(Br)C=CC3O2,SuFEx
Z4262326692,326.3002,C13H11FN2O5S,4-(5-methoxypyridine-3-amido)phenyl sulfurofluoridate,COC=1C=NC=C(C1)C(=O)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
Z2759769338,335.3319,C10H10FN3O5S2,"3-{[(5-methyl-1,2,4-oxadiazol-3-yl)methyl]sulfamoyl}benzene-1-sulfonyl fluoride",CC1=NC(CNS(=O)(=O)C=2C=CC=C(C2)S(=O)(=O)F)=NO1,SuFEx
Z4607567259,372.4117,C16H21FN2O5S,4-[3-(cyclopentylformamido)butanamido]phenyl sulfurofluoridate,CC(CC(=O)NC=1C=CC(=CC1)OS(=O)(=O)F)NC(=O)C2CCCC2,FS
Z4403580735,357.3971,C16H20FNO5S,3-{1-[3-(fluorosulfonyl)benzoyl]piperidin-4-yl}-2-methylpropanoic acid,CC(CC1CCN(CC1)C(=O)C=2C=CC=C(C2)S(=O)(=O)F)C(=O)O,SuFEx
Z4262289095,357.3143,C13H12FN3O6S,methyl 5-({4-[(fluorosulfonyl)oxy]phenyl}carbamoyl)-1-methyl-1H-pyrazole-3-carboxylate,COC(=O)C=1C=C(C(=O)NC=2C=CC(=CC2)OS(=O)(=O)F)N(C)N1,FS
